time,open,high,low,close,volume
1785693600,4062.37,4062.74,4061.80,4062.18,0.57086649
1785697200,4061.46,4061.88,4059.27,4060.81,0.37944773
1785700800,4061.53,4065.61,4060.60,4065.61,1.26432532
1785704400,4063.72,4069.59,4063.61,4069.54,0.67742032
1785708000,4070.30,4077.10,4059.30,4059.30,1.32994984
1785711600,4058.25,4065.25,4057.17,4065.25,0.82657040
1785715200,4066.95,4070.00,4049.46,4049.46,16.31508002
1785718800,4048.40,4052.00,4043.63,4044.70,2.43011492
1785722400,4052.15,4057.42,4047.10,4057.42,2.09694884
1785726000,4054.34,4059.04,4051.48,4055.74,1.53728577
1785729600,4057.16,4062.67,4055.75,4056.86,1.51098515
1785733200,4056.86,4056.99,4048.08,4056.99,4.24954760
1785736800,4061.01,4061.12,4055.43,4055.46,1.60537557
1785740400,4055.57,4056.22,4046.27,4053.28,0.93236657
1785744000,4053.80,4053.80,4048.19,4051.47,1.30986012
1785747600,4051.73,4052.78,4044.70,4048.76,2.01179895
1785751200,4048.75,4048.75,4041.54,4041.54,3.96116331
1785754800,4043.36,4055.40,4040.17,4055.40,1.10216657
1785758400,4055.70,4055.70,4038.15,4041.10,2.63524929
1785762000,4042.74,4042.75,4018.78,4028.60,9.98966700
1785765600,4027.45,4032.79,4023.36,4032.39,6.25290529
1785769200,4032.39,4036.17,4027.03,4032.13,2.64566481
1785772800,4032.12,4034.65,4031.38,4033.31,0.69544509
1785776400,4033.71,4033.71,4027.06,4027.47,0.99167163
1785780000,4027.95,4041.08,4027.95,4039.83,11.29544324
1785783600,4043.96,4050.99,4043.40,4046.82,4.09486444
1785787200,4047.85,4052.94,4045.55,4050.29,2.04802567
1785790800,4050.62,4050.62,4047.43,4047.57,1.40904950
1785794400,4050.02,4050.02,4045.52,4047.01,0.73868825
1785798000,4048.08,4048.48,4044.90,4047.13,3.25641545
1785801600,4047.25,4061.75,4044.34,4044.34,8.19250555
1785805200,4043.90,4054.46,4039.18,4054.46,2.11935495
1785808800,4053.37,4055.70,4050.29,4054.35,2.02820204
1785812400,4053.32,4053.82,4047.48,4047.96,0.16667076
1785816000,4047.95,4058.40,4045.52,4057.69,3.01233078
1785819600,4057.87,4057.87,4051.19,4053.68,10.54315297
1785823200,4055.20,4056.78,4050.76,4054.03,0.86128933
1785826800,4058.13,4058.13,4054.69,4056.59,0.44486654
1785830400,4057.83,4063.00,4048.52,4048.53,0.30795671
1785834000,4048.41,4048.41,4043.27,4044.20,25.46559037
1785837600,4042.77,4052.00,4041.99,4048.88,0.78317020
1785841200,4049.17,4070.30,4047.46,4065.40,7.32893931
1785844800,4061.16,4074.00,4054.91,4063.41,0.81266242
1785848400,4061.76,4082.80,4057.14,4076.57,3.47117723
1785852000,4076.58,4084.12,4067.97,4076.80,17.90528617
1785855600,4076.20,4080.24,4067.58,4080.24,7.46560092
1785859200,4078.95,4084.52,4076.06,4084.52,1.43394249
1785862800,4084.55,4096.85,4078.92,4079.66,34.15469545
1785866400,4078.00,4082.50,4071.34,4073.54,8.05163060
1785870000,4069.43,4069.43,4069.43,4069.43,12.25555457
1785873600,4069.35,4069.35,4069.35,4069.35,4.16598057
1785877200,4076.49,4076.49,4076.49,4076.49,2.10533140
1785880800,4075.02,4075.02,4075.02,4075.02,0.40449855
1785884400,4064.27,4064.27,4064.27,4064.27,9.99194493
1785888000,4074.24,4074.24,4074.24,4074.24,1.74845737
1785891600,4091.92,4091.92,4091.92,4091.92,1.22184227
1785895200,4121.55,4121.55,4121.55,4121.55,23.83894045
1785898800,4117.56,4117.56,4117.56,4117.56,11.42812604
1785902400,4124.21,4124.21,4124.21,4124.21,5.64352197
1785906000,4150.81,4150.81,4150.81,4150.81,17.01369311
1785909600,4166.26,4166.26,4166.26,4166.26,49.63118330
1785913200,4157.14,4157.14,4157.14,4157.14,32.39322745
1785916800,4150.08,4150.08,4150.08,4150.08,3.33674989
1785920400,4148.30,4148.30,4148.30,4148.30,8.08933167
